DATE_TIME,current_contract,next_contract,carry_contract
2021-03-11 08:00:00,20210300,20210400,20210400
2021-04-11 23:00:00,20210400,20210500,20210500
2021-05-11 02:00:00,20210500,20210600,20210600
2021-06-11 03:00:00,20210600,20210700,20210700
2021-07-11 23:00:00,20210700,20210800,20210800
2021-08-11 02:00:00,20210800,20210900,20210900
2021-09-10 02:00:00,20210900,20211000,20211000
2021-10-11 02:00:00,20211000,20211100,20211100
2021-11-11 02:00:00,20211100,20211200,20211200
2021-12-10 08:00:00,20211200,20220100,20220100
2021-12-17 23:00:01,20220100,20220200,20220200
2022-02-08 18:00:01,20220200,20220300,20220300
2022-03-08 18:00:01,20220300,20220400,20220400
2022-04-11 18:00:01,20220400,20220500,20220500
2022-05-16 18:00:01,20220500,20220600,20220600
2022-06-09 17:00:01,20220600,20220700,20220700
2022-07-08 18:00:02,20220700,20220800,20220800
2022-07-18 17:00:01,20220800,20220900,20220900
2022-09-05 17:00:02,20220900,20221000,20221000
2022-10-10 18:00:01,20221000,20221100,20221100
2022-10-31 19:00:00,20221100,20221200,20221200
